row_number,manufacturer,brand,category,part_number,description,material,size,size_uom,pressure_rating,pressure_uom,connection_type,temperature_range
56,Kitz Corporation,Swagelok,Centrifugal Pump,KIT-CE-4-0055,"4 in Bronze Centrifugal Pump, 1500 psi",Bronze,4,in,1500,psi,Solder,
57,Parker Hannifin,Milwaukee,Elbow Fitting,PAR-EL-34-0056,"3/4 mm Bronze Elbow Fitting, 300 WOG",Bronze,3/4,mm,300,WOG,Flanged,0°F to 250°F
58,Apollo Valves,Milwaukee,Globe Valve,APO-GL-2-0057,"2 in Carbon Steel Globe Valve, 400 psi",Carbon Steel,2,in,400,psi,NPT,0°F to 250°F
59,Velan,Grundfos,Elbow Fitting,VEL-EL-34-0058,"3/4 in Stainless Steel 316 Elbow Fitting, 400 psi",Stainless Steel 316,3/4,in,400,,Threaded,0°C to 200°C
60,Honeywell,,Gate Valve,HON-GA-4-0059,"4 in Bronze Gate Valve, 300 psi",Bronze,4,in,300,,BSP,-40°F to 400°F
61,,Sharpe,Gate Valve,KIT-GA-6-0060,"6 mm Brass Gate Valve, 600 WOG",Brass,6,mm,600,WOG,Compression,-20°F to 350°F
62,Emerson Electric,Watts,Needle Valve,EME-NE-1-12-0061,"1-1/2 mm Stainless Steel 316 Needle Valve, 600 WOG",Stainless Steel 316,1-1/2,mm,600,WOG,Solder,0°C to 200°C
63,Apollo Valves,Kitz,Centrifugal Pump,APO-CE-6-0062,"6 in Ductile Iron Centrifugal Pump, 800 WOG",Ductile Iron,,in,800,WOG,BSP,0°F to 250°F
64,Milwaukee Valve,Apollo,Butterfly Valve,MIL-BU-4-0063,"4 in Stainless Steel 316 Butterfly Valve, 1000 psi",Stainless Steel 316,4,in,1000,psi,Threaded,-20°C to 180°C
65,Emerson Electric,Kitz,Centrifugal Pump,EME-CE-1-0064,"1 mm Bronze Centrifugal Pump, 400 WOG",Bronze,1,,400,WOG,Threaded,0°C to 200°C
66,Pentair,Milwaukee,Coupling,PEN-CO-12-0065,"1/2 in Brass Coupling, 1000 psi",Brass,1/2,in,1000,psi,FNPT,-20°F to 350°F
67,Victaulic,Apollo,Butterfly Valve,VIC-BU-4-0066,"4 in Brass Butterfly Valve, 600 WOG",Brass,4,in,600,WOG,Compression,-20°C to 180°C
68,Velan,Milwaukee,Check Valve,VEL-CH-14-0067,"1/4 in Brass Check Valve, 600 psi",Brass,1/4,in,600,psi,Threaded,-40°F to 400°F
69,Velan,Kitz,Needle Valve,VEL-NE-1-12-0068,"1-1/2 in Brass Needle Valve, 1500 psi",Brass,1-1/2,in,,psi,Threaded,0°F to 250°F
70,Swagelok,Kitz,Ball Valve,SWA-BA-1-12-0069,"1-1/2 mm Carbon Steel Ball Valve, 1000 CWP",Carbon Steel,1-1/2,mm,1000,CWP,NPT,-20°C to 180°C
71,Watts Water Technologies,Watts,Gate Valve,WAT-GA-34-0070,"3/4 in Stainless Steel 304 Gate Valve, 300 psi",Stainless Steel 304,3/4,in,300,psi,FNPT,-20°C to 180°C
72,Watts Water Technologies,Watts,Check Valve,WAT-CH-4-0071,"4 in PVC Check Valve, 600 CWP",PVC,,in,600,CWP,NPT,0°F to 250°F
73,Milwaukee Valve,Swagelok,Butterfly Valve,MIL-BU-2-0072,"2 mm Brass Butterfly Valve, 400 psi",Brass,2,mm,400,psi,Solder,
74,Pentair,,Reducer,PEN-RE-1-14-0073,"1-1/4 in Cast Iron Reducer, 600 WOG",Cast Iron,1-1/4,in,600,WOG,Flanged,0°F to 250°F
75,Victaulic,Grundfos,Coupling,VIC-CO-3-0074,"3 in Bronze Coupling, 800 psi",Bronze,3,in,800,psi,Compression,-20°C to 180°C
76,Velan,Victaulic,Needle Valve,VEL-NE-2-12-0075,"2-1/2 in Ductile Iron Needle Valve, 150 psi",Ductile Iron,2-1/2,in,150,psi,BSP,-40°F to 400°F
77,Milwaukee Valve,Victaulic,Globe Valve,MIL-GL-3-0076,"3 in Cast Iron Globe Valve, 300 psi",Cast Iron,3,in,300,psi,FNPT,0°C to 200°C
78,Nibco,NIBCO,Globe Valve,NIB-GL-34-0077,"3/4 in PVC Globe Valve, 1500 WOG",PVC,3/4,in,1500,WOG,,0°F to 250°F
79,Watts Water Technologies,Victaulic,Flange,WAT-FL-1-0078,"1 in Bronze Flange, 300 psi",Bronze,1,in,300,,,0°C to 200°C
80,Flowserve,Swagelok,Coupling,FLO-CO-14-0079,"1/4 in Carbon Steel Coupling, 200 psi",Carbon Steel,1/4,in,200,psi,,-40°F to 400°F
81,Crane Co.,NIBCO,Centrifugal Pump,CRA-CE-38-0080,"3/8 in Ductile Iron Centrifugal Pump, 400 psi",Ductile Iron,,in,400,psi,NPT,-20°F to 350°F
82,Pentair,Watts,Ball Valve,PEN-BA-34-0081,"3/4 mm Stainless Steel 316 Ball Valve, 1000 psi",Stainless Steel 316,3/4,mm,1000,,Compression,
83,Apollo Valves,Kitz,Ball Valve,APO-BA-38-0082,"3/8 in Stainless Steel 316 Ball Valve, 400 psi",,3/8,in,400,psi,Threaded,0°C to 200°C
84,Velan,Watts,Centrifugal Pump,VEL-CE-14-0083,"1/4 in PVC Centrifugal Pump, 400 psi",PVC,1/4,in,400,,Threaded,-40°F to 400°F
85,Swagelok,Apollo,Coupling,SWA-CO-38-0084,"3/8 in Stainless Steel 304 Coupling, 1000 WOG",Stainless Steel 304,3/8,in,1000,WOG,Compression,-20°C to 180°C
86,Emerson Electric,Swagelok,Gate Valve,EME-GA-1-14-0085,"1-1/4 in Stainless Steel 304 Gate Valve, 200 psi",Stainless Steel 304,1-1/4,in,,psi,Compression,0°F to 250°F
87,Crane Co.,Apollo,Needle Valve,CRA-NE-1-14-0086,"1-1/4 mm Ductile Iron Needle Valve, 300 psi",Ductile Iron,1-1/4,mm,300,psi,,0°C to 200°C
88,Nibco,Kitz,Ball Valve,NIB-BA-2-12-0087,"2-1/2 in Cast Iron Ball Valve, 1000 psi",Cast Iron,2-1/2,in,1000,psi,Compression,0°F to 250°F
89,Kitz Corporation,Milwaukee,Check Valve,KIT-CH-38-0088,"3/8 in Carbon Steel Check Valve, 200 WOG",Carbon Steel,3/8,in,200,WOG,FNPT,-20°C to 180°C
90,,Watts,Centrifugal Pump,HON-CE-38-0089,"3/8 in Carbon Steel Centrifugal Pump, 300 psi",Carbon Steel,3/8,in,300,psi,Threaded,-20°C to 180°C
91,Pentair,Fisher,Check Valve,PEN-CH-12-0090,"1/2 in Bronze Check Valve, 200 WOG",Bronze,1/2,in,200,WOG,Flanged,
92,Emerson Electric,Victaulic,Gate Valve,EME-GA-1-14-0091,"1-1/4 in Cast Iron Gate Valve, 800 CWP",Cast Iron,1-1/4,in,800,CWP,BSP,-20°F to 350°F
93,Honeywell,Watts,Needle Valve,HON-NE-3-0092,"3 in Stainless Steel 316 Needle Valve, 150 psi",Stainless Steel 316,3,,150,psi,NPT,0°C to 200°C
94,Flowserve,Swagelok,Ball Valve,FLO-BA-12-0093,"1/2 in Brass Ball Valve, 1000 WOG",Brass,1/2,in,1000,WOG,Flanged,-40°F to 400°F
95,Emerson Electric,Kitz,Ball Valve,EME-BA-2-0094,"2 in Stainless Steel 304 Ball Valve, 300 psi",Stainless Steel 304,2,in,300,psi,NPT,0°F to 250°F
96,Honeywell,Fisher,Union,HON-UN-1-0095,"1 in PVC Union, 150 psi",PVC,,in,150,psi,Flanged,0°C to 200°C
97,Parker Hannifin,Sharpe,Globe Valve,PAR-GL-1-12-0096,"1-1/2 in Stainless Steel 316 Globe Valve, 150 WOG",Stainless Steel 316,1-1/2,in,150,WOG,NPT,0°C to 200°C
98,,Sharpe,Globe Valve,HON-GL-12-0097,"1/2 in Stainless Steel 316 Globe Valve, 1000 CWP",Stainless Steel 316,1/2,in,1000,CWP,NPT,-20°F to 350°F
99,Apollo Valves,Grundfos,Centrifugal Pump,APO-CE-2-12-0098,"2-1/2 mm Stainless Steel 316 Centrifugal Pump, 1500 CWP",Stainless Steel 316,2-1/2,mm,1500,CWP,BSP,
100,Nibco,Milwaukee,Reducer,NIB-RE-6-0099,"6 in Carbon Steel Reducer, 1500 psi",Carbon Steel,6,in,1500,psi,Solder,0°C to 200°C
101,Apollo Valves,NIBCO,Butterfly Valve,APO-BU-6-0100,"6 in PVC Butterfly Valve, 300 CWP",PVC,6,in,300,CWP,FNPT,0°C to 200°C
102,Pentair,Milwaukee,Gate Valve,PEN-GA-1-0101,"1 mm Carbon Steel Gate Valve, 600 psi",Carbon Steel,1,mm,600,psi,BSP,0°F to 250°F
103,Milwaukee Valve,Swagelok,Union,MIL-UN-12-0102,"1/2 in Stainless Steel 316 Union, 150 psi",Stainless Steel 316,1/2,in,150,psi,Compression,-20°F to 350°F
104,Kitz Corporation,Grundfos,Ball Valve,KIT-BA-4-0103,"4 in Carbon Steel Ball Valve, 150 psi",Carbon Steel,,in,150,psi,Flanged,0°F to 250°F
105,Nibco,NIBCO,Centrifugal Pump,NIB-CE-1-0104,"1 in Stainless Steel 316 Centrifugal Pump, 200 CWP",,1,in,200,CWP,,0°C to 200°C
106,Bray International,Fisher,Needle Valve,BRA-NE-14-0105,"1/4 in Stainless Steel 304 Needle Valve, 600 CWP",Stainless Steel 304,1/4,in,600,CWP,Solder,-20°F to 350°F
107,Bray International,Sharpe,Needle Valve,BRA-NE-4-0106,"4 in PVC Needle Valve, 300 psi",PVC,4,in,300,psi,Compression,0°F to 250°F
108,Velan,Sharpe,Gate Valve,VEL-GA-1-14-0107,"1-1/4 in PVC Gate Valve, 150 psi",PVC,1-1/4,in,150,psi,Flanged,-40°F to 400°F
109,Nibco,Milwaukee,Needle Valve,NIB-NE-6-0108,"6 in Stainless Steel 304 Needle Valve, 600 psi",Stainless Steel 304,6,in,600,psi,Solder,-40°F to 400°F
110,,NIBCO,Centrifugal Pump,VEL-CE-2-12-0109,"2-1/2 in Bronze Centrifugal Pump, 800 psi",Bronze,2-1/2,in,800,psi,Solder,-20°F to 350°F
111,Kitz Corporation,Fisher,Butterfly Valve,KIT-BU-14-0110,"1/4 in PVC Butterfly Valve, 300 CWP",PVC,1/4,,300,,Flanged,-20°C to 180°C
112,Apollo Valves,Kitz,Centrifugal Pump,APO-CE-38-0111,"3/8 in Brass Centrifugal Pump, 150 psi",Brass,3/8,in,150,psi,Flanged,-40°F to 400°F
113,Apollo Valves,Sharpe,Needle Valve,APO-NE-4-0112,"4 in Cast Iron Needle Valve, 200 psi",Cast Iron,,,200,psi,Solder,-20°C to 180°C
114,Swagelok,NIBCO,Globe Valve,SWA-GL-1-0113,"1 in Cast Iron Globe Valve, 200 psi",Cast Iron,1,,200,psi,Threaded,-20°C to 180°C
115,Flowserve,Apollo,Gate Valve,FLO-GA-14-0114,"1/4 in Carbon Steel Gate Valve, 600 psi",Carbon Steel,1/4,in,600,psi,Threaded,0°C to 200°C
116,Parker Hannifin,Victaulic,Flange,PAR-FL-4-0115,"4 in Cast Iron Flange, 1500 psi",Cast Iron,4,in,1500,psi,BSP,-20°C to 180°C
117,Pentair,Watts,Centrifugal Pump,PEN-CE-1-12-0116,"1-1/2 mm Ductile Iron Centrifugal Pump, 300 WOG",Ductile Iron,1-1/2,mm,300,WOG,FNPT,0°F to 250°F
118,Kitz Corporation,Apollo,Tee Fitting,KIT-TE-2-0117,"2 in Carbon Steel Tee Fitting, 800 psi",Carbon Steel,2,in,800,psi,NPT,-40°F to 400°F
119,Milwaukee Valve,Kitz,Centrifugal Pump,MIL-CE-2-12-0118,"2-1/2 in PVC Centrifugal Pump, 600 psi",PVC,2-1/2,in,600,psi,BSP,
120,Swagelok,NIBCO,Centrifugal Pump,SWA-CE-2-12-0119,"2-1/2 mm Stainless Steel 304 Centrifugal Pump, 1000 psi",Stainless Steel 304,2-1/2,mm,1000,psi,FNPT,-40°F to 400°F
121,Velan,Fisher,Needle Valve,VEL-NE-12-0120,"1/2 in Stainless Steel 316 Needle Valve, 1500 psi",Stainless Steel 316,1/2,,,psi,Solder,
122,Honeywell,Apollo,Check Valve,HON-CH-14-0121,"1/4 mm Stainless Steel 316 Check Valve, 1500 WOG",,1/4,mm,1500,WOG,NPT,-20°F to 350°F
123,Victaulic,Watts,Ball Valve,VIC-BA-34-0122,"3/4 in Cast Iron Ball Valve, 600 psi",Cast Iron,3/4,in,600,psi,BSP,-20°C to 180°C
124,Velan,Apollo,Check Valve,VEL-CH-2-12-0123,"2-1/2 in Ductile Iron Check Valve, 150 psi",Ductile Iron,2-1/2,in,150,psi,Compression,-40°F to 400°F
125,,Grundfos,Ball Valve,VIC-BA-4-0124,"4 in Bronze Ball Valve, 150 psi",Bronze,4,in,150,psi,Threaded,0°F to 250°F
126,,Swagelok,Butterfly Valve,SWA-BU-1-12-0125,"1-1/2 in Stainless Steel 316 Butterfly Valve, 200 CWP",Stainless Steel 316,1-1/2,in,200,CWP,Compression,
127,Crane Co.,Fisher,Globe Valve,CRA-GL-1-12-0126,"1-1/2 in Ductile Iron Globe Valve, 1000 psi",Ductile Iron,1-1/2,in,1000,psi,Threaded,0°C to 200°C
128,Emerson Electric,Apollo,Union,EME-UN-1-0127,"1 in Stainless Steel 316 Union, 300 psi",Stainless Steel 316,,in,300,psi,FNPT,-20°C to 180°C
129,Crane Co.,Swagelok,Ball Valve,CRA-BA-3-0128,"3 mm Carbon Steel Ball Valve, 300 WOG",Carbon Steel,3,mm,300,WOG,FNPT,-40°F to 400°F
130,Pentair,Fisher,Gate Valve,PEN-GA-38-0129,"3/8 in PVC Gate Valve, 600 psi",PVC,3/8,in,600,psi,Flanged,0°F to 250°F
131,Kitz Corporation,NIBCO,Gate Valve,KIT-GA-1-14-0130,"1-1/4 in Ductile Iron Gate Valve, 1500 CWP",Ductile Iron,1-1/4,in,1500,CWP,Threaded,-40°F to 400°F
132,Parker Hannifin,Fisher,Tee Fitting,PAR-TE-1-0131,"1 in PVC Tee Fitting, 1000 WOG",PVC,1,in,1000,WOG,FNPT,0°F to 250°F
133,,Swagelok,Globe Valve,VIC-GL-38-0132,"3/8 in Bronze Globe Valve, 800 psi",Bronze,3/8,in,800,psi,,0°C to 200°C
134,Milwaukee Valve,Victaulic,Needle Valve,MIL-NE-2-0133,"2 in Carbon Steel Needle Valve, 1000 WOG",Carbon Steel,2,in,1000,WOG,Threaded,0°C to 200°C
135,Watts Water Technologies,Milwaukee,Gate Valve,WAT-GA-1-14-0134,"1-1/4 in PVC Gate Valve, 200 WOG",PVC,1-1/4,in,200,WOG,Compression,-20°C to 180°C
136,Flowserve,Victaulic,Gate Valve,FLO-GA-2-12-0135,"2-1/2 in Stainless Steel 316 Gate Valve, 1500 psi",Stainless Steel 316,2-1/2,in,1500,psi,Threaded,
137,Flowserve,NIBCO,Needle Valve,FLO-NE-3-0136,"3 in Bronze Needle Valve, 300 psi",Bronze,3,in,300,psi,BSP,-40°F to 400°F
138,Swagelok,Fisher,Needle Valve,SWA-NE-3-0137,"3 mm Stainless Steel 304 Needle Valve, 200 psi",Stainless Steel 304,3,mm,200,psi,BSP,-20°F to 350°F
139,Milwaukee Valve,Watts,Check Valve,MIL-CH-12-0138,"1/2 in Stainless Steel 304 Check Valve, 800 WOG",Stainless Steel 304,1/2,in,800,WOG,Solder,-20°F to 350°F
140,Pentair,Fisher,Ball Valve,PEN-BA-34-0139,"3/4 in Brass Ball Valve, 150 psi",Brass,3/4,in,150,psi,FNPT,0°C to 200°C
141,Watts Water Technologies,Victaulic,Centrifugal Pump,WAT-CE-2-12-0140,"2-1/2 in PVC Centrifugal Pump, 1000 psi",PVC,2-1/2,in,1000,psi,Compression,-40°F to 400°F
142,Bray International,Grundfos,Needle Valve,BRA-NE-12-0141,"1/2 mm Ductile Iron Needle Valve, 300 psi",Ductile Iron,1/2,mm,300,psi,Threaded,-40°F to 400°F
143,Milwaukee Valve,Sharpe,Check Valve,MIL-CH-1-0142,"1 in Brass Check Valve, 300 psi",Brass,1,in,300,psi,FNPT,0°F to 250°F
144,,Sharpe,Needle Valve,VIC-NE-6-0143,"6 in Stainless Steel 304 Needle Valve, 1500 WOG",Stainless Steel 304,6,in,1500,WOG,,0°C to 200°C
145,Flowserve,Swagelok,Centrifugal Pump,FLO-CE-1-14-0144,"1-1/4 in Stainless Steel 304 Centrifugal Pump, 800 CWP",Stainless Steel 304,1-1/4,,800,CWP,Solder,-40°F to 400°F
146,Swagelok,Watts,Ball Valve,SWA-BA-34-0145,"3/4 in Ductile Iron Ball Valve, 600 psi",Ductile Iron,3/4,in,,psi,Threaded,0°F to 250°F
147,Apollo Valves,,Centrifugal Pump,APO-CE-2-0146,"2 in Carbon Steel Centrifugal Pump, 300 CWP",Carbon Steel,2,in,300,CWP,FNPT,0°C to 200°C
148,Pentair,Sharpe,Globe Valve,PEN-GL-12-0147,"1/2 in Stainless Steel 304 Globe Valve, 300 psi",Stainless Steel 304,1/2,in,300,psi,NPT,0°C to 200°C
149,Flowserve,Sharpe,Tee Fitting,FLO-TE-3-0148,"3 in Bronze Tee Fitting, 800 WOG",Bronze,3,in,800,WOG,,-40°F to 400°F
150,Victaulic,Milwaukee,Butterfly Valve,VIC-BU-6-0149,"6 in Carbon Steel Butterfly Valve, 600 psi",Carbon Steel,6,in,600,psi,Threaded,-40°F to 400°F
151,Swagelok,,Butterfly Valve,SWA-BU-2-0150,"2 in Cast Iron Butterfly Valve, 150 CWP",,2,in,150,CWP,NPT,-20°F to 350°F
152,Emerson Electric,Victaulic,Gate Valve,EME-GA-38-0151,"3/8 in Stainless Steel 304 Gate Valve, 200 CWP",Stainless Steel 304,3/8,in,,CWP,FNPT,-40°F to 400°F
153,Parker Hannifin,NIBCO,Check Valve,PAR-CH-2-0152,"2 mm Bronze Check Valve, 150 psi",Bronze,2,mm,150,psi,Compression,-40°F to 400°F
154,Honeywell,Milwaukee,Centrifugal Pump,HON-CE-1-14-0153,"1-1/4 in Brass Centrifugal Pump, 600 CWP",Brass,1-1/4,in,600,CWP,NPT,0°F to 250°F
